"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 08 11:13:00 UTC 2022","Thu Dec 08 11:13:16 UTC 2022","16700","","Log in ","","Log in ","3Password should be reseted","3Password should be reseted",""
"passed","Thu Dec 08 11:15:51 UTC 2022","Thu Dec 08 11:16:05 UTC 2022","14411","","Blog ","","Blog ","15Chosen filter should be focused","15Chosen filter should be focused",""
"broken","Mon Dec 12 23:49:49 UTC 2022","Mon Dec 12 23:50:51 UTC 2022","61533","","Sign up","","Sign up","7Should not be signed up with empty fields","7Should not be signed up with empty fields",""
"passed","Thu Dec 08 11:38:26 UTC 2022","Thu Dec 08 11:38:30 UTC 2022","3048","","talkToExpert","","talkToExpert","11Should open contact-us pache by click on Talk to an expert","11Should open contact-us pache by click on Talk to an expert",""
"passed","Thu Dec 08 11:39:06 UTC 2022","Thu Dec 08 11:39:18 UTC 2022","12190","","get the Ebook","","get the Ebook","19 Should see thank you page after fill all fields and submit to get the Ebook","19 Should see thank you page after fill all fields and submit to get the Ebook",""
"broken","Thu Dec 08 11:13:16 UTC 2022","Thu Dec 08 11:13:34 UTC 2022","17743","","Log in ","","Log in ","4Should be logout from account and check that email field is filled","4Should be logout from account and check that email field is filled",""
"passed","Thu Dec 08 11:15:02 UTC 2022","Thu Dec 08 11:15:10 UTC 2022","7681","","MainMenu","","MainMenu","10use requests to navigation bar links for Company item in Menu","10use requests to navigation bar links for Company item in Menu",""
"passed","Thu Dec 08 11:38:22 UTC 2022","Thu Dec 08 11:38:23 UTC 2022","1234","","MainMenu","","MainMenu","9dropdown menu is visible when move to items main menu","9dropdown menu is visible when move to items main menu",""
"passed","Thu Dec 08 11:38:58 UTC 2022","Thu Dec 08 11:39:01 UTC 2022","2790","","Blog ","","Blog ","16Check Result Filter By Content ","16Check Result Filter By Content ",""
"passed","Thu Dec 08 11:16:19 UTC 2022","Thu Dec 08 11:16:35 UTC 2022","15567","","get the Ebook","","get the Ebook","19 Should see thank you page after fill all fields and submit to get the Ebook","19 Should see thank you page after fill all fields and submit to get the Ebook",""
"passed","Thu Dec 08 11:38:45 UTC 2022","Thu Dec 08 11:38:51 UTC 2022","5902","","Blog ","","Blog ","13Should search","13Should search",""
"broken","Thu Dec 08 11:15:18 UTC 2022","Thu Dec 08 11:15:38 UTC 2022","19746","","talkToExpert","","talkToExpert","12Should send form","12Should send form",""
"passed","Thu Dec 08 11:39:03 UTC 2022","Thu Dec 08 11:39:06 UTC 2022","3136","","Blog ","","Blog ","18 get the book","18 get the book",""
"passed","Thu Dec 08 11:39:18 UTC 2022","Thu Dec 08 11:39:22 UTC 2022","4069","","get the Ebook","","get the Ebook","20 Should see error message when requre field is empty","20 Should see error message when requre field is empty",""
"passed","Mon Dec 12 23:47:56 UTC 2022","Mon Dec 12 23:48:05 UTC 2022","9522","","Log in ","","Log in ","3Password should be reseted","3Password should be reseted",""
"passed","Thu Dec 08 11:15:46 UTC 2022","Thu Dec 08 11:15:51 UTC 2022","4648","","Blog ","","Blog ","14Should search with empty results","14Should search with empty results",""
"broken","Mon Dec 12 23:48:05 UTC 2022","Mon Dec 12 23:48:37 UTC 2022","31421","","Log in ","","Log in ","4Should be logout from account and check that email field is filled","4Should be logout from account and check that email field is filled",""
"broken","Thu Dec 08 11:13:34 UTC 2022","Thu Dec 08 11:13:53 UTC 2022","18806","","Log in ","","Log in ","5Should be logged in with valid data and check","5Should be logged in with valid data and check",""
"passed","Thu Dec 08 11:16:13 UTC 2022","Thu Dec 08 11:16:19 UTC 2022","6031","","Blog ","","Blog ","18 get the book","18 get the book",""
"passed","Thu Dec 08 11:38:56 UTC 2022","Thu Dec 08 11:38:58 UTC 2022","2115","","Blog ","","Blog ","15Chosen filter should be focused","15Chosen filter should be focused",""
"passed","Thu Dec 08 11:12:32 UTC 2022","Thu Dec 08 11:12:42 UTC 2022","10513","","Log in ","","Log in ","1Should receive error message about email format","1Should receive error message about email format",""
"passed","Thu Dec 08 11:16:35 UTC 2022","Thu Dec 08 11:16:42 UTC 2022","7321","","get the Ebook","","get the Ebook","20 Should see error message when requre field is empty","20 Should see error message when requre field is empty",""
"broken","Thu Dec 08 11:38:30 UTC 2022","Thu Dec 08 11:38:45 UTC 2022","15943","","talkToExpert","","talkToExpert","12Should send form","12Should send form",""
"unknown","Mon Dec 12 23:50:51 UTC 2022","Thu Jan 01 00:00:00 UTC 1970","-1670889051157","","MainMenu","","MainMenu","8All items of main menu have hover effect","8All items of main menu have hover effect",""
"passed","Thu Dec 08 11:38:23 UTC 2022","Thu Dec 08 11:38:26 UTC 2022","3227","","MainMenu","","MainMenu","10use requests to navigation bar links for Company item in Menu","10use requests to navigation bar links for Company item in Menu",""
"passed","Thu Dec 08 11:14:59 UTC 2022","Thu Dec 08 11:15:02 UTC 2022","3462","","MainMenu","","MainMenu","9dropdown menu is visible when move to items main menu","9dropdown menu is visible when move to items main menu",""
"passed","Mon Dec 12 23:47:43 UTC 2022","Mon Dec 12 23:47:50 UTC 2022","6817","","Log in ","","Log in ","1Should receive error message about email format","1Should receive error message about email format",""
"passed","Thu Dec 08 11:14:57 UTC 2022","Thu Dec 08 11:14:59 UTC 2022","1759","","MainMenu","","MainMenu","8All items of main menu have hover effect","8All items of main menu have hover effect",""
"passed","Wed Dec 07 12:57:15 UTC 2022","Wed Dec 07 12:57:19 UTC 2022","3388","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
